source,target,weight
P0707,P0911,38
P0909,P0911,34
P0909,P0910,32
P0910,P0911,30
P0707,P0909,29
P0707,P1256,26
P0707,P1257,26
P0911,P1256,25
P0707,P1316,25
P1256,P1257,24
P0707,P1252,24
P0707,P0910,24
P1253,P1254,24
P1255,P1257,23
P1252,P1253,23
P0707,P1254,23
P0911,P1257,22
P0707,P1253,22
P0911,P1255,21
P1255,P1256,21
P0911,P1252,21
P1096,P1097,20
P0909,P1257,20
P0911,P1253,20
P1253,P1257,20
P0910,P1256,20
P0910,P1257,20
P1252,P1254,20
P0707,P1940,19
P0880,P1097,19
P0707,P1255,19
P0909,P1256,19
P1252,P1256,19
P0910,P1255,19
P0853,P0854,18
P0707,P1096,18
P0909,P1255,18
P0909,P1253,18
P0911,P1316,18
P1254,P1256,18
P1254,P1257,18
P0909,P1316,18
P0707,P0853,17
P0379,P1940,17
P0707,P0920,17
P0531,P0707,17
P1252,P1257,17
P1253,P1256,17
P1256,P1316,17
P0911,P1254,17
P0909,P1254,17
P0910,P1252,17
P0910,P1254,17
P0707,P0856,16
P0191,P0570,16
P0191,P0707,16
P0570,P0707,16
P0707,P0880,16
P0962,P1940,16
P0909,P1252,16
P1257,P1316,16
P0515,P1009,15
P0707,P1097,15
P0449,P0707,15
P1253,P1255,15
P1253,P1316,15
P1254,P1255,15
P0920,P1314,15
P0910,P1253,15
P0910,P1316,15
P0297,P0707,14
P0707,P1794,14
P0880,P1096,14
P0707,P1839,14
P1280,P1281,14
P0711,P0911,14
P1252,P1316,14
P1254,P1316,14
P0911,P1362,14
P0707,P1019,13
P0191,P1794,13
P0920,P1097,13
P0379,P0849,13
P0531,P1940,13
P0379,P0707,13
P0379,P1823,13
P0379,P0570,13
P0853,P1940,13
P0141,P0191,13
P0707,P1356,13
P1252,P1255,13
P0856,P1097,13
P1253,P1362,13
P0515,P0570,12
P0707,P0854,12
P0920,P1096,12
P0920,P1940,12
P0570,P1839,12
P0531,P0847,12
P0849,P1940,12
P1607,P1839,12
P0853,P1097,12
P0911,P1050,12
P0707,P0711,12
P0909,P1245,12
P0911,P1245,12
P1245,P1257,12
P0853,P0856,12
P1316,P1940,12
P0297,P1316,12
P0707,P1314,12
P0449,P1252,12
P0909,P1362,12
P0821,P0822,12
P0707,P1020,11
P0707,P1608,11
P0707,P0982,11
P0707,P1607,11
P0879,P0880,11
P0880,P0920,11
P0880,P1940,11
P0920,P0922,11
P1096,P1940,11
P1097,P1940,11
P0191,P1096,11
P0362,P1839,11
P1839,P1940,11
P0181,P1839,11
P0854,P1839,11
P0302,P0305,11
P0707,P1050,11
P1050,P1097,11
P0707,P1111,11
P0555,P1940,11
P0853,P1096,11
P0926,P0927,11
P0853,P0911,11
P0911,P0920,11
P0911,P1019,11
P0191,P1795,11
P0707,P1090,11
P0141,P0531,11
P0707,P1201,11
P1097,P1124,11
P0711,P1257,11
P1245,P1256,11
P0911,P1741,11
P1741,P1763,11
P0566,P0707,11
P1281,P1940,11
P0853,P1316,11
P1280,P1316,11
P1281,P1316,11
P1286,P1316,11
P0707,P1362,11
P1316,P1839,11
P1090,P1316,11
P0822,P1940,11
P1816,P1940,11
P0411,P0852,10
P0909,P1940,10
P0097,P0191,10
P0297,P1608,10
P0707,P1687,10
P0006,P0049,10
P0298,P0707,10
P0302,P0707,10
P0703,P0707,10
P0379,P0411,10
P0379,P0880,10
P0379,P1020,10
P0379,P1097,10
P0412,P0880,10
P0449,P0920,10
P0449,P1097,10
P0922,P1096,10
P0548,P0707,10
P1097,P1102,10
P0920,P1839,10
P0379,P0415,10
P0379,P0427,10
P0379,P0852,10
P0415,P0849,10
P0708,P0711,10
P1015,P1016,10
P0743,P1839,10
P0532,P1940,10
P0063,P0065,10
P0880,P1050,10
P0920,P1687,10
P1096,P1607,10
P1019,P1839,10
P0430,P1940,10
P1763,P1839,10
P0065,P1096,10
P0807,P0853,10
P0807,P1940,10
P0853,P0920,10
P0191,P0449,10
P0447,P1090,10
P0449,P1794,10
P0911,P1124,10
P0911,P1839,10
P1356,P1839,10
P0707,P0737,10
P0707,P1112,10
P0707,P1113,10
P0707,P1124,10
P0707,P1245,10
P0909,P1111,10
P1356,P1589,10
P0191,P0531,10
P1356,P1763,10
P0570,P1288,10
P1245,P1252,10
P1245,P1316,10
P1255,P1316,10
P0449,P1253,10
P0910,P1362,10
P1252,P1362,10
P0449,P1362,10
P0191,P1316,10
P1316,P1362,10
P1354,P1362,10
P0447,P1316,10
P1316,P1823,10
P0707,P1277,10
P1280,P1940,10
P0822,P0823,10
P0411,P0427,9
P0944,P0947,9
P1019,P1020,9
P0814,P0815,9
P0097,P0570,9
P0297,P0515,9
P0707,P0981,9
P0707,P1009,9
P0174,P0181,9
P0703,P1607,9
P0379,P0412,9
P0566,P1096,9
P0880,P0922,9
P0880,P1020,9
P0920,P1020,9
P0922,P1097,9
P1020,P1097,9
P1097,P1105,9
P1654,P1940,9
P0516,P1940,9
P0707,P1105,9
P0707,P1795,9
P0191,P0920,9
P0191,P1839,9
P0211,P0259,9
P0259,P0617,9
P0617,P1096,9
P1020,P1839,9
P1096,P1839,9
P0379,P0800,9
P0427,P0531,9
P0531,P1096,9
P0531,P1097,9
P0800,P1097,9
P0708,P0920,9
P0989,P1839,9
P0062,P0063,9
P0141,P0707,9
P0707,P0879,9
P0703,P1741,9
P1823,P1940,9
P0379,P1607,9
P0531,P1839,9
P1097,P1607,9
P0379,P1019,9
P0379,P1763,9
P0570,P1674,9
P0920,P1763,9
P1097,P1120,9
P0807,P0812,9
P0807,P1050,9
P0854,P1050,9
P1097,P1112,9
P0339,P0343,9
P0564,P0566,9
P0854,P0911,9
P0911,P1097,9
P0191,P1090,9
P0447,P1794,9
P0447,P1795,9
P0532,P0707,9
P0704,P1794,9
P0707,P1823,9
P0379,P0911,9
P1278,P1280,9
P0192,P0707,9
P0707,P1288,9
P0191,P0911,9
P0711,P1256,9
P0909,P1839,9
P0911,P0927,9
P1245,P1255,9
P0737,P1589,9
P0711,P1252,9
P0707,P1657,9
P0707,P1741,9
P0707,P1763,9
P0570,P1940,9
P0174,P0179,9
P1097,P1363,9
P0707,P1361,9
P1244,P1316,9
P0464,P0707,9
P0464,P1316,9
P0707,P1280,9
P1280,P1282,9
P0911,P1314,9
P1252,P1607,9
P1253,P1607,9
P1314,P1316,9
P0910,P1940,9
P1202,P1940,9
P0141,P1316,9
P1314,P1356,9
P0920,P1252,9
P0065,P1281,9
P0531,P1356,9
P0853,P0909,9
P0854,P0856,9
P0909,P1314,9
P0920,P1362,9
P1362,P1607,9
P0570,P0911,9
P1124,P1362,9
P1252,P1794,9
