OrderNo,GroupNo,WorkerNo,TaskNo
D0601,1,1,1
D0352,1,1,2
D0581,1,1,3
D0423,1,1,4
D0026,1,2,1
D0613,1,2,2
D0126,1,2,3
D0096,1,2,4
D0496,1,2,5
D0776,1,2,6
D0391,1,2,7
D0243,1,2,8
D0674,1,3,1
D0539,1,3,2
D0903,1,3,3
D0212,1,3,4
D0912,1,3,5
D0726,1,3,6
D0337,1,4,1
D0630,1,4,2
D0384,1,4,3
D0312,1,4,4
D0614,1,4,5
D0294,1,4,6
D0747,1,4,7
D0497,1,5,1
D0246,1,5,2
D0148,1,5,3
D0320,2,1,1
D0670,2,1,2
D0540,2,1,3
D0882,2,2,1
D0433,2,2,2
D0486,2,2,3
D0505,2,2,4
D0401,2,3,1
D0825,2,3,2
D0612,2,3,3
D0550,2,3,4
D0306,2,3,5
D0318,2,3,6
D0198,2,3,7
D0572,2,3,8
D0771,2,3,9
D0190,2,4,1
D0474,2,4,2
D0468,2,4,3
D0409,2,5,1
D0413,2,5,2
D0498,2,5,3
D0110,2,5,4
D0092,2,5,5
D0091,2,5,6
D0399,2,5,7
D0591,2,5,8
D0541,3,1,1
D0690,3,1,2
D0435,3,1,3
D0429,3,1,4
D0900,3,1,5
D0680,3,1,6
D0880,3,2,1
D0031,3,2,2
D0893,3,2,3
D0647,3,3,1
D0679,3,3,2
D0477,3,3,3
D0003,3,3,4
D0846,3,3,5
D0188,3,3,6
D0480,3,3,7
D0728,3,3,8
D0459,3,4,1
D0470,3,4,2
D0562,3,4,3
D0432,3,4,4
D0482,3,5,1
D0841,3,5,2
D0551,3,5,3
D0565,3,5,4
D0002,4,1,1
D0134,4,1,2
D0114,4,1,3
D0583,4,2,1
D0115,4,2,2
D0204,4,3,1
D0180,4,4,1
D0809,4,4,2
D0175,4,5,1
D0800,5,1,1
D0145,5,2,1
D0164,5,3,1
D0225,5,4,1
D0149,5,5,1
D0329,6,1,1
D0525,6,1,2
D0223,6,1,3
D0205,6,1,4
D0628,6,1,5
D0080,6,2,1
D0406,6,2,2
D0113,6,3,1
D0781,6,3,2
D0029,6,4,1
D0464,6,4,2
D0865,6,4,3
D0315,6,5,1
D0852,6,5,2
D0430,6,5,3
D0245,6,5,4
D0494,6,5,5
D0623,7,1,1
D0625,7,1,2
D0059,7,1,3
D0197,7,2,1
D0504,7,2,2
D0279,7,2,3
D0070,7,2,4
D0458,7,3,1
D0553,7,3,2
D0079,7,4,1
D0277,7,4,2
D0744,7,4,3
D0283,7,5,1
D0349,7,5,2
D0719,7,5,3
D0479,7,5,4
D0561,7,5,5
D0093,8,1,1
D0896,8,1,2
D0252,8,2,1
D0621,8,2,2
D0801,8,2,3
D0599,8,3,1
D0618,8,3,2
D0229,8,3,3
D0237,8,3,4
D0755,8,4,1
D0416,8,4,2
D0731,8,4,3
D0260,8,4,4
D0006,8,5,1
D0737,8,5,2
D0189,9,1,1
D0741,9,2,1
D0210,9,2,2
D0792,9,2,3
D0767,9,3,1
D0830,9,3,2
D0851,9,3,3
D0194,9,4,1
D0397,9,4,2
D0386,9,5,1
D0220,9,5,2
D0894,9,5,3
D0227,9,5,4
D0019,9,5,5
D0043,9,5,6
D0678,10,1,1
D0271,10,1,2
D0340,10,1,3
D0042,10,1,4
D0133,10,2,1
D0460,10,2,2
D0166,10,2,3
D0147,10,2,4
D0192,10,3,1
D0899,10,3,2
D0481,10,4,1
D0475,10,4,2
D0142,10,4,3
D0171,10,5,1
D0651,10,5,2
D0302,11,1,1
D0891,11,1,2
D0544,11,1,3
D0060,11,2,1
D0208,11,3,1
D0118,11,4,1
D0049,11,4,2
D0034,11,4,3
D0249,11,5,1
D0878,11,5,2
D0187,12,1,1
D0063,12,2,1
D0039,12,3,1
D0324,12,4,1
D0017,12,4,2
D0607,12,5,1
D0137,12,5,2
D0845,12,5,3
D0199,12,5,4
D0512,13,1,1
D0718,13,1,2
D0131,13,1,3
D0528,13,2,1
D0919,13,2,2
D0632,13,2,3
D0499,13,2,4
D0518,13,2,5
D0909,13,3,1
D0094,13,3,2
D0804,13,3,3
D0759,13,3,4
D0407,13,3,5
D0446,13,3,6
D0754,13,4,1
D0417,13,4,2
D0821,13,4,3
D0400,13,4,4
D0339,13,4,5
D0517,13,5,1
D0363,13,5,2
D0660,13,5,3
D0325,13,5,4
D0280,14,1,1
D0838,14,1,2
D0566,14,1,3
D0392,14,2,1
D0100,14,2,2
D0653,14,2,3
D0345,14,2,4
D0146,14,2,5
D0633,14,2,6
D0054,14,2,7
D0299,14,3,1
D0555,14,3,2
D0211,14,4,1
D0376,14,4,2
D0913,14,5,1
D0706,14,5,2
D0595,14,5,3
D0061,14,5,4
D0254,15,1,1
D0248,15,1,2
D0420,15,1,3
D0332,15,1,4
D0529,15,1,5
D0370,15,1,6
D0168,15,2,1
D0824,15,2,2
D0703,15,2,3
D0514,15,2,4
D0434,15,3,1
D0195,15,3,2
D0454,15,3,3
D0262,15,4,1
D0244,15,5,1
D0542,16,1,1
D0516,16,1,2
D0631,16,2,1
D0035,16,2,2
D0574,16,2,3
D0483,16,2,4
D0472,16,3,1
D0178,16,3,2
D0388,16,4,1
D0130,16,4,2
D0125,16,4,3
D0140,16,4,4
D0524,16,4,5
D0036,16,4,6
D0177,16,5,1
D0143,16,5,2
D0078,16,5,3
D0461,17,1,1
D0609,17,1,2
D0622,17,1,3
D0261,17,2,1
D0749,17,2,2
D0085,17,3,1
D0620,17,3,2
D0751,17,4,1
D0323,17,4,2
D0810,17,4,3
D0414,17,4,4
D0119,17,4,5
D0508,17,5,1
D0062,17,5,2
D0365,17,5,3
D0453,18,1,1
D0462,18,1,2
D0691,18,1,3
D0761,18,2,1
D0701,18,2,2
D0774,18,2,3
D0476,18,2,4
D0901,18,3,1
D0619,18,3,2
D0357,18,3,3
D0753,18,3,4
D0319,18,3,5
D0639,18,3,6
D0269,18,4,1
D0456,18,4,2
D0577,18,4,3
D0785,18,5,1
D0826,18,5,2
D0545,18,5,3
D0727,18,5,4
D0626,18,5,5
D0837,18,5,6
D0084,19,1,1
D0101,19,1,2
D0597,19,1,3
D0224,19,2,1
D0823,19,2,2
D0436,19,3,1
D0141,19,3,2
D0849,19,3,3
D0158,19,4,1
D0209,19,4,2
D0328,19,4,3
D0153,19,5,1
D0231,19,5,2
D0696,20,1,1
D0743,20,1,2
D0106,20,1,3
D0654,20,1,4
D0183,20,2,1
D0760,20,2,2
D0136,20,2,3
D0818,20,2,4
D0860,20,3,1
D0037,20,3,2
D0697,20,3,3
D0570,20,3,4
D0154,20,4,1
D0598,20,4,2
D0176,20,5,1
D0828,20,5,2
D0797,20,5,3
D0089,21,1,1
D0890,21,1,2
D0536,21,1,3
D0580,21,1,4
D0348,21,2,1
D0443,21,2,2
D0840,21,2,3
D0616,21,2,4
D0868,21,2,5
D0490,21,2,6
D0784,21,2,7
D0375,21,3,1
D0218,21,3,2
D0646,21,3,3
D0174,21,4,1
D0403,21,4,2
D0764,21,4,3
D0906,21,4,4
D0861,21,5,1
D0513,21,5,2
D0426,21,5,3
D0466,21,5,4
D0010,22,1,1
D0820,22,1,2
D0877,22,2,1
D0128,22,2,2
D0221,22,2,3
D0537,22,3,1
D0488,22,3,2
D0734,22,3,3
D0217,22,3,4
D0155,22,4,1
D0016,22,4,2
D0281,22,5,1
D0077,22,5,2
D0303,23,1,1
D0708,23,1,2
D0589,23,1,3
D0411,23,1,4
D0356,23,2,1
D0769,23,2,2
D0355,23,2,3
D0445,23,3,1
D0783,23,3,2
D0637,23,3,3
D0548,23,3,4
D0117,23,4,1
D0717,23,4,2
D0124,23,5,1
D0650,23,5,2
D0173,24,1,1
D0914,24,1,2
D0811,24,1,3
D0739,24,2,1
D0235,24,2,2
D0758,24,2,3
D0415,24,2,4
D0789,24,3,1
D0282,24,3,2
D0578,24,3,3
D0534,24,4,1
D0730,24,4,2
D0011,24,5,1
D0469,24,5,2
D0775,24,5,3
D0787,24,5,4
D0232,25,1,1
D0617,25,1,2
D0532,25,2,1
D0033,25,2,2
D0573,25,2,3
D0266,25,3,1
D0596,25,3,2
D0412,25,3,3
D0258,25,4,1
D0270,25,5,1
D0251,25,5,2
D0419,26,1,1
D0051,26,1,2
D0203,26,2,1
D0402,26,2,2
D0219,26,3,1
D0066,26,3,2
D0644,26,3,3
D0713,26,4,1
D0547,26,4,2
D0766,26,5,1
D0600,26,5,2
D0478,27,1,1
D0554,27,1,2
D0905,27,1,3
D0206,27,1,4
D0374,27,2,1
D0915,27,2,2
D0023,27,3,1
D0700,27,3,2
D0881,27,4,1
D0848,27,4,2
D0431,27,4,3
D0241,27,5,1
D0640,27,5,2
D0448,28,1,1
D0216,28,1,2
D0301,28,1,3
D0172,28,1,4
D0772,28,1,5
D0652,28,1,6
D0507,28,2,1
D0535,28,2,2
D0655,28,2,3
D0377,28,2,4
D0684,28,3,1
D0372,28,3,2
D0179,28,3,3
D0803,28,4,1
D0347,28,4,2
D0874,28,4,3
D0428,28,4,4
D0904,28,4,5
D0724,28,4,6
D0075,28,5,1
D0368,28,5,2
D0543,28,5,3
D0579,28,5,4
D0250,29,1,1
D0440,29,1,2
D0658,29,1,3
D0116,29,1,4
D0665,29,1,5
D0184,29,2,1
D0160,29,3,1
D0159,29,3,2
D0638,29,3,3
D0515,29,4,1
D0233,29,5,1
D0819,30,1,1
D0259,30,1,2
D0884,30,2,1
