ItemNo,GroupNo,ShelfNo
P0412,1,1
P0874,1,2
P1356,1,3
P1100,1,4
P0251,1,5
P0167,1,6
P0411,1,7
P0765,1,8
P0044,1,9
P1267,1,10
P0211,1,11
P0981,1,12
P0449,1,13
P1488,1,14
P1054,1,15
P1154,1,16
P0911,1,17
P1099,1,18
P1176,1,19
P0849,1,20
P1091,1,21
P0922,1,22
P0414,1,23
P0791,1,24
P1344,1,25
P1264,1,26
P1834,1,27
P1700,1,28
P1199,1,29
P1046,1,30
P1288,1,31
P0191,1,32
P0798,1,33
P1045,1,34
P0713,1,35
P0457,1,36
P0941,1,37
P0201,1,38
P0141,1,39
P1111,1,40
P1113,1,41
P1374,1,42
P1203,1,43
P0910,1,44
P0550,1,45
P1591,1,46
P1286,1,47
P0948,1,48
P1224,1,49
P1409,1,50
P1351,1,51
P1280,1,52
P0728,1,53
P1266,1,54
P0707,1,55
P0399,1,56
P1214,1,57
P0076,1,58
P1699,1,59
P1317,1,60
P1316,1,61
P1313,1,62
P1314,1,63
P0415,1,64
P0852,1,65
P1362,1,66
P0757,1,67
P0854,1,68
P0790,1,69
P0785,1,70
P1020,1,71
P1235,1,72
P0364,1,73
P1090,1,74
P1248,1,75
P1588,1,76
P1187,1,77
P1257,1,78
P0047,1,79
P1535,1,80
P1098,1,81
P1112,1,82
P0434,1,83
P1124,1,84
P0209,1,85
P1079,1,86
P0856,1,87
P1645,1,88
P0936,1,89
P0708,1,90
P1096,1,91
P0710,1,92
P0714,1,93
P0920,1,94
P1011,1,95
P1346,1,96
P0947,1,97
P0888,1,98
P1105,1,99
P0531,1,100
P1708,1,101
P0097,1,102
P1281,1,103
P1255,1,104
P1282,1,105
P1571,1,106
P1155,1,107
P0374,1,108
P1254,1,109
P0879,1,110
P0305,1,111
P1312,1,112
P0944,1,113
P0365,1,114
P1308,1,115
P1055,1,116
P1709,1,117
P0194,1,118
P0106,1,119
P0303,1,120
P1157,1,121
P0842,1,122
P1271,1,123
P0252,1,124
P1253,1,125
P1263,1,126
P0302,1,127
P1201,1,128
P0684,1,129
P0312,1,130
P0307,1,131
P0379,1,132
P1711,1,133
P0046,1,134
P0200,1,135
P1044,1,136
P0078,1,137
P0857,1,138
P0306,1,139
P0880,1,140
P1189,1,141
P0640,1,142
P1231,1,143
P1017,1,144
P1018,1,145
P0045,1,146
P1354,1,147
P1757,1,148
P1302,1,149
P0881,1,150
P0945,1,151
P0878,1,152
P1596,1,153
P0404,1,154
P0818,1,155
P0853,1,156
P1223,1,157
P1097,1,158
P0065,1,159
P1343,1,160
P0311,1,161
P1233,1,162
P0950,1,163
P0787,1,164
P0053,1,165
P0165,1,166
P0063,1,167
P1445,1,168
P1363,1,169
P0943,1,170
P1056,1,171
P1310,1,172
P0949,1,173
P1352,1,174
P0769,1,175
P1685,1,176
P0817,1,177
P0909,1,178
P0788,1,179
P1115,1,180
P1628,1,181
P1242,1,182
P1006,1,183
P0077,1,184
P1102,1,185
P0764,1,186
P0938,1,187
P0146,1,188
P1252,1,189
P1794,1,190
P0709,1,191
P1833,1,192
P1251,1,193
P1740,1,194
P1315,1,195
P0875,1,196
P0840,1,197
P0701,1,198
P1213,1,199
P0707,2,1
P0167,2,2
P1311,2,3
P0704,2,4
P1772,2,5
P0170,2,6
P0193,2,7
P0013,2,8
P0569,2,9
P1235,2,10
P1794,2,11
P1882,2,12
P1925,2,13
P1887,2,14
P1363,2,15
P0484,2,16
P0083,2,17
P1357,2,18
P1914,2,19
P0450,2,20
P0009,2,21
P1896,2,22
P0154,2,23
P1888,2,24
P1281,2,25
P1883,2,26
P1142,2,27
P0082,2,28
P0844,2,29
P0632,2,30
P1930,2,31
P0805,2,32
P0483,2,33
P1928,2,34
P0081,2,35
P1931,2,36
P1306,2,37
P1316,2,38
P1919,2,39
P1516,2,40
P1920,2,41
P0368,2,42
P1761,2,43
P1923,2,44
P0079,2,45
P0071,2,46
P1250,2,47
P0503,2,48
P0451,2,49
P1403,2,50
P1922,2,51
P0022,2,52
P0882,2,53
P0786,2,54
P1934,2,55
P1902,2,56
P1917,2,57
P0695,2,58
P0332,2,59
P1720,2,60
P1895,2,61
P1873,2,62
P0627,2,63
P1714,2,64
P0660,2,65
P1414,2,66
P1356,2,67
P1795,2,68
P0456,2,69
P0853,2,70
P1199,2,71
P1764,2,72
P1459,2,73
P1912,2,74
P1558,2,75
P1453,2,76
P1879,2,77
P0076,2,78
P0634,2,79
P1913,2,80
P0401,2,81
P0871,2,82
P1144,2,83
P1163,2,84
P1881,2,85
P0455,2,86
P1402,2,87
P0447,2,88
P0596,2,89
P1682,2,90
P1681,2,91
P1143,2,92
P1894,2,93
P0457,2,94
P1413,2,95
P1924,2,96
P1858,2,97
P0011,2,98
P1409,2,99
P0012,2,100
P0115,2,101
P1586,2,102
P1460,2,103
P1130,2,104
P1921,2,105
P0316,2,106
P1050,2,107
P0920,2,108
P0002,2,109
P0312,2,110
P1694,2,111
P0074,2,112
P1698,2,113
P0843,2,114
P1715,2,115
P0333,2,116
P1750,2,117
P1401,2,118
P0117,2,119
P1926,2,120
P1900,2,121
P1655,2,122
P0773,2,123
P0733,2,124
P0191,2,125
P0982,2,126
P1584,2,127
P0557,2,128
P1905,2,129
P0444,2,130
P1915,2,131
P1339,2,132
P0628,2,133
P1725,2,134
P1404,2,135
P1361,2,136
P0629,2,137
P0073,2,138
P1141,2,139
P1802,2,140
P1897,2,141
P1911,2,142
P1936,2,143
P1884,2,144
P0048,2,145
P0459,2,146
P0075,2,147
P1131,2,148
P0289,2,149
P1933,2,150
P0673,2,151
P0734,2,152
P1929,2,153
P0080,2,154
P1927,2,155
P1938,2,156
P1097,2,157
P0737,2,158
P1454,2,159
P1200,2,160
P0195,2,161
P0855,2,162
P0856,2,163
P0290,2,164
P1937,2,165
P0693,2,166
P1554,2,167
P1771,2,168
P1314,2,169
P1939,2,170
P1455,2,171
P1916,2,172
P1886,2,173
P0410,2,174
P1641,2,175
P0452,2,176
P0713,2,177
P0217,2,178
P1932,2,179
P0437,2,180
P1880,2,181
P0836,2,182
P0997,2,183
P0454,2,184
P0201,2,185
P0588,2,186
P1236,2,187
P1328,2,188
P1193,2,189
P1898,2,190
P1904,2,191
P1899,2,192
P0854,2,193
P1000,2,194
P1918,2,195
P0470,2,196
P0078,2,197
P1935,2,198
P1697,2,199
P1940,3,1
P1859,3,2
P1538,3,3
P1480,3,4
P0325,3,5
P0097,3,6
P1659,3,7
P1019,3,8
P0500,3,9
P0859,3,10
P0282,3,11
P1088,3,12
P1612,3,13
P0984,3,14
P0174,3,15
P0703,3,16
P0943,3,17
P0411,3,18
P0283,3,19
P0340,3,20
P1158,3,21
P0296,3,22
P0918,3,23
P1093,3,24
P1662,3,25
P0768,3,26
P0435,3,27
P0702,3,28
P0555,3,29
P1674,3,30
P1015,3,31
P1056,3,32
P0088,3,33
P0685,3,34
P1045,3,35
P0506,3,36
P1032,3,37
P0281,3,38
P1077,3,39
P0515,3,40
P0415,3,41
P0696,3,42
P0969,3,43
P0920,3,44
P0193,3,45
P1225,3,46
P0717,3,47
P0640,3,48
P0181,3,49
P0191,3,50
P0352,3,51
P1276,3,52
P1689,3,53
P1601,3,54
P1103,3,55
P0826,3,56
P0881,3,57
P1657,3,58
P0008,3,59
P1661,3,60
P0922,3,61
P1802,3,62
P0429,3,63
P0085,3,64
P1094,3,65
P1054,3,66
P1609,3,67
P1610,3,68
P0179,3,69
P0812,3,70
P0358,3,71
P1316,3,72
P1820,3,73
P1738,3,74
P1001,3,75
P1692,3,76
P0735,3,77
P0492,3,78
P0637,3,79
P0518,3,80
P1865,3,81
P0951,3,82
P0141,3,83
P0168,3,84
P0516,3,85
P1006,3,86
P0878,3,87
P1177,3,88
P0275,3,89
P0114,3,90
P1669,3,91
P1181,3,92
P0708,3,93
P0733,3,94
P0693,3,95
P0264,3,96
P1071,3,97
P1162,3,98
P0064,3,99
P0501,3,100
P0646,3,101
P0307,3,102
P0489,3,103
P0947,3,104
P0701,3,105
P1790,3,106
P0868,3,107
P1818,3,108
P0570,3,109
P0242,3,110
P0970,3,111
P0979,3,112
P1864,3,113
P1124,3,114
P1660,3,115
P0858,3,116
P1869,3,117
P0271,3,118
P0732,3,119
P0968,3,120
P1822,3,121
P0993,3,122
P0169,3,123
P1188,3,124
P0997,3,125
P1763,3,126
P1685,3,127
P0945,3,128
P0807,3,129
P1687,3,130
P1735,3,131
P1356,3,132
P0172,3,133
P0491,3,134
P1839,3,135
P1757,3,136
P0339,3,137
P0944,3,138
P1013,3,139
P0514,3,140
P1821,3,141
P0971,3,142
P0171,3,143
P0686,3,144
P1668,3,145
P1755,3,146
P0580,3,147
P0087,3,148
P1834,3,149
P0180,3,150
P1665,3,151
P0734,3,152
P0958,3,153
P0981,3,154
P1065,3,155
P0380,3,156
P1302,3,157
P1055,3,158
